"population","gene","prop"
"ITCD-TC","DR76_1360",0.09
"ITCD-RC","DR76_1360",0.07
"CTRD-TC","DR76_1398/alx ",0.29
"CTRD-RC","DR76_1398/alx ",0.24
"ITCD-RC","DR76_1460",0.14
"ITCD-RC","DR76_1541",0.09
"CTRD-RC","DR76_2014",0.32
"CTRD-RC","DR76_2014",0.31
"CTRD-RC","DR76_2014",0.3
"CTRD-RC","DR76_2014",0.3
"LVXD-TC","DR76_2014",0.15
"LVXD-TC","DR76_2014",0.15
"LVXD-TC","DR76_2014",0.15
"LVXD-RC","DR76_2014",0.32
"LVXD-RC","DR76_2014",0.25
"LVXD-RC","DR76_2014",0.24
"LVXD-RC","DR76_2014",0.25
"ITCD-TC","DR76_2232/DR76_2233 ",1
"ITCD-RC","DR76_2370",0.05
"ITCD-TC","DR76_2546",0.08
"ITCD-RC","DR76_2620/nadC ",0.07
"ITCD-RC","DR76_2785/DR76_2786 ",0.07
"LVXD-RC","DR76_2922/fliA ",0.07
"LVXD-RC","DR76_2922fliA ",0.07
"ITCD-RC","DR76_314",0.09
"ITCD-TC","DR76_3192",0.07
"ITCD-RC","DR76_3192",0.05
"ITCD-RC","DR76_3439",0.05
"ITCD-TC","DR76_3479",0.07
"ITCD-RC","DR76_3575",0.08
"CTRD-TC","DR76_3675",0.47
"CTRD-RC","DR76_3675",0.5
"ITCD-TC","DR76_3675",0.48
"ITCD-RC","DR76_3675",0.5
"LVXD-TC","DR76_3675",0.54
"LVXD-RC","DR76_3675",0.51
"LVXD-RC","DR76_3685",0.06
"LVXD-RC","DR76_3843",0.09
"ITCD-RC","DR76_4142",0.08
"CTRD-RC","DR76_4317",0.07
"CTRD-RC","DR76_4460",0.06
"ITCD-TC","DR76_4473",0.12
"ITCD-RC","DR76_4473",0.05
"LVXD-RC","DR76_4643",0.08
"ITCD-TC","DR76_4658",0.06
"CTRD-TC","DR76_4694/pic ",0.33
"CTRD-TC","DR76_4694/pic ",0.34
"CTRD-TC","DR76_4694/pic ",0.34
"CTRD-TC","DR76_4694/pic ",0.36
"CTRD-TC","DR76_4694/pic ",0.36
"CTRD-TC","DR76_4694/pic ",0.35
"CTRD-RC","DR76_4694/pic ",0.06
"CTRD-RC","DR76_4694/pic ",0.06
"CTRD-RC","DR76_4694/pic ",0.06
"CTRD-RC","DR76_4694/pic ",0.07
"CTRD-RC","DR76_4694/pic ",0.06
"CTRD-RC","DR76_4694/pic ",0.06
"ITCD-TC","DR76_4694/pic ",0.17
"ITCD-TC","DR76_4694/pic ",0.18
"ITCD-TC","DR76_4694/pic ",0.18
"ITCD-TC","DR76_4694/pic ",0.19
"ITCD-TC","DR76_4694/pic ",0.19
"ITCD-TC","DR76_4694/pic ",0.19
"LVXD-TC","DR76_4694/pic ",0.28
"LVXD-TC","DR76_4694/pic ",0.29
"LVXD-TC","DR76_4694/pic ",0.28
"LVXD-TC","DR76_4694/pic ",0.31
"LVXD-TC","DR76_4694/pic ",0.3
"LVXD-TC","DR76_4694/pic ",0.31
"LVXD-RC","DR76_4694/pic ",0.1
"LVXD-RC","DR76_4694/pic ",0.11
"LVXD-RC","DR76_4694/pic ",0.11
"LVXD-RC","DR76_4694/pic ",0.11
"LVXD-RC","DR76_4694/pic ",0.11
"LVXD-RC","DR76_4694/pic ",0.11
"ITCD-TC","DR76_4703/DR76_4706 ",0.08
"ITCD-TC","DR76_670",0.08
"CTRD-TC","DR76_938/ DR76_939 ",0.06
"LVXD-TC","flhA",0.06
"ITCD-TC","focA",0.08
"LVXD-RC","gspF",0.1
"CTRD-TC","gyrA",0.57
"CTRD-TC","gyrA",0.27
"CTRD-RC","gyrA",0.47
"CTRD-RC","gyrA",0.33
"LVXD-TC","gyrA",1
"LVXD-RC","gyrA",1
"CTRD-RC","gyrB",0.08
"CTRD-RC","kdpB",0.06
"ITCD-TC","livF/ DR76_1042 ",0.08
"CTRD-TC","malT",0.32
"CTRD-RC","malT",0.32
"LVXD-TC","malT",0.23
"LVXD-TC","malT",1
"LVXD-TC","malT",1
"LVXD-TC","malT",1
"LVXD-TC","malT",1
"LVXD-TC","malT",0.1
"LVXD-RC","malT",0.17
"LVXD-RC","malT",0.17
"LVXD-RC","malT",0.17
"LVXD-RC","malT",0.17
"LVXD-RC","malT",0.17
"LVXD-RC","metA",0.08
"LVXD-TC","miaA",0.06
"ITCD-TC","mppA",0.07
"ITCD-TC","mutH",0.1
"ITCD-RC","mutH",0.08
"ITCD-RC","ndh",0.08
"ITCD-TC","nhaA/nhaR ",0.12
"CTRD-RC","ompF",0.08
"CTRD-RC","ompF",1
"LVXD-TC","ompF",0.05
"LVXD-TC","parC",0.13
"LVXD-RC","parC",0.21
"LVXD-RC","parE",0.17
"LVXD-RC","parE",0.08
"LVXD-RC","tgt",0.07
"CTRD-TC","treR",0.18
"CTRD-RC","treR",0.29
"ITCD-TC","treR",0.08
"LVXD-TC","treR",0.06
"LVXD-TC","treR",0.06
"LVXD-RC","treR",0.08
"LVXD-RC","treR",0.06
"CTRD-TC","tyrR",0.06
"LVXD-RC","ydhC",0.1
"LVXD-TC","yhjH",0.13
"LVXD-TC","yhjH",0.13
